"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000366685","KIN-27      ","083500","D","03.00","00.50","N","E","Y","Y","Y",,,"20110209"
"Cabrillo","CCC000366639","FPT-159     ","213300","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366664","GEOL25      ","191400","D","03.00","03.00","N","E","Y","Y","Y",,,"20180805"
"Cabrillo","CCC000366658","MATH-158SI  ","170100","D","00.50","00.50","N","E","A","Y","Y",,,"20070919"
"Cabrillo","CCC000366880","ECE-162X    ","130500","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366869","ART-40PD    ","100200","D","03.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366865","RT185       ","122500","D","02.00","02.00","N","B","Y","Y","Y",,,"20180627"
"Cabrillo","CCC000366860","ECE-162HS   ","130500","D","02.00","02.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366840","HORT-161    ","010900","D","03.00","02.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366825","CAOS-127    ","070100","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366795","ENGL-290    ","150100","C","03.00","00.50","B","E","B","Y","Y",,,"20100524"
"Cabrillo","CCC000366806","ACCT155     ","050200","D","04.00","04.00","N","C","Y","Y","Y",,,"20180628"
"Cabrillo","CCC000366803","ENGL49B     ","150100","D","03.00","03.00","N","E","Y","Y","Y",,,"20180805"
"Cabrillo","CCC000366369","DMCP-115B   ","050600","D","02.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366337","FR-1A       ","110200","D","02.00","02.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000366440","ACCT151A    ","050200","D","05.00","04.00","N","D","Y","Y","Y",,,"20180630"
